<file CEP_creative_0040> <domain CREATIVE> <corpus CEP_Dias_2026>
Act ^nn++++=Act
S ^zz++++=S
medical ^jj+atrb+++=medical
website ^nn++++=website
design ^nn++++=design
services ^nns++++=services.
. ^zz++++=EXTRAWORD
Write ^vb++++=Write
it ^pp3+it+++=it
in ^in++++=in
an ^at++++=an
enticing ^jj+atrb+++=enticing
form ^nn++++=form
which ^whp+rel+subj++=which
would ^md+prd+++=would
capture ^vb++++=capture
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
Checkout ^np+++??+=Checkout
my ^pp$+pp1+++=my
conversation ^nn+nom+++=conversation
with ^in++++=with
Chatgpt ^np+++??+=ChatGPT
and ^cc+cls+++=and
how ^wrb+who+++=how
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
create ^vb++++=create
a ^at++++=a
Code_snippet ^np+++??+=Code_Snippet
Code_snippet ^np+++??+=Code_Snippet.
. ^zz++++=EXTRAWORD
Write ^vb++++=Write
an ^at++++=an
outline ^nn++++=outline
for ^in++++=for
a ^at++++=a
two ^cd++++=two
topic ^nn++++=topic
essay ^nn++++=essay.
. ^zz++++=EXTRAWORD
Topic ^nn++++=Topic
1 ^zz++++=1
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
experiences ^nns+nom+++=experiences
with ^in++++=with
and ^cc++++=and
observations ^nns+nom+++=observations
of ^in++++=of
being ^xvbg+++xvbg+=being
a ^at++++=a
high ^jj+atrb+++=high
school ^nn++++=school
student ^nn++++=student
leader ^nn++++=leader.
. ^zz++++=EXTRAWORD
Topic ^nn++++=Topic
2 ^zz++++=2
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
experiences ^nns+nom+++=experiences
with ^in++++=with
and ^cc++++=and
observations ^nns+nom+++=observations
of ^in++++=of
being ^xvbg+++xvbg+=being
a ^at++++=a
pet ^nn++++=pet
owner ^nn++++=owner.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
write ^vbi++++=write
a ^at++++=a
blog ^nn+++??+=blog
article ^nn++++=article
for ^in++++=for
people ^nns++++=people
new ^jj++++=new
to ^in++++=to
the ^ati++++=the
given ^jj+atrb++xvbn+=given
theme ^nn++++=theme.
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
present ^vb++++=present
appropriate ^jj+atrb+++=appropriate
titles ^nns++++=titles
and ^cc++++=and
subtitles ^nns+++??+=subtitles
as ^ql++++=as
a ^at++++=a
list ^nn++++=list.
. ^zz++++=EXTRAWORD
Theme ^nn++++=Theme:
: ^zz++++=EXTRAWORD
rational ^jj+atrb+++=rational
function ^nn+nom+++=function.
. ^zz++++=EXTRAWORD
Answer ^nn++++=Answer
in ^in++++=in
English ^nn++++=English.
. ^zz++++=EXTRAWORD
Write ^vb++++=Write
a ^at++++=a
children ^nns++++=children
book ^nn++++=book
about ^in++++=about
a ^at++++=a
playful ^jj+atrb+++=playful
dog ^nn++++=dog
with ^in++++=with
one ^cd1++++=one
eye ^nn++++=eye
blue ^nn++++=blue
and ^cc++++=and
one ^cd1++++=one
eye ^nn++++=eye
yellow ^nn++++=yellow,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
journey ^nn++++=journey
with ^in++++=with
a ^rb++++=a
little ^rb"++++=little
boy ^nn++++=boy
on ^in++++=on
family ^nn++++=family
vacation ^nn+nom+++=vacation
in ^in++++=in
the ^ati++++=the
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
design ^vbi++++=design
a ^at++++=a
secure ^nn++++=secure
drop ^vb++++=drop
box ^nn++++=box
for ^in++++=for
packages ^nns+nom+++=packages
to ^to++++=to
be ^vbi+vbi+aux++=be
placed ^vpsv++agls+xvbnx+=placed
outside ^in+cmpx+++=outside
of ^in"++++=of
customers ^nns+nom+++=customers
homes ^nrs++++=homes.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
suggest ^vb+vpub+++=suggest
to ^in++++=to
me ^pp1o+pp1+++=me
some ^dti++++=some
cost ^nn++++=cost
effective ^jj+atrb+++=effective
ways ^nns++++=ways
to ^to++++=to
inform ^vbi++++=inform
the ^ati++++=the
customer ^nn+nom+++=customer
when ^wrb+who+++=when
the ^ati++++=the
box ^nn++++=box
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
opened ^vpsv++agls+xvbnx+=opened
and ^cc++++=and
closed ^jj+++xvbn+=closed?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
a ^at++++=a
supervillain ^nn+++??+=supervillain
who ^whp+rel+subj++=who
went ^vbd+++xvbn+=went
undercover ^jjr++++=undercover
as ^in++++=as
a ^at++++=a
superhero ^nn+++??+=superhero
for ^in++++=for
jokes ^nns++++=jokes,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
to ^to++++=to
discover ^nn+nom+++=discover
how ^wrb+who+++=how
corrupt ^jj++++=corrupt
the ^ati++++=the
system ^nn++++=system
is ^vbz+bez+vrb++=is
in ^in++++=in
the ^ati++++=the
hero ^nn++++=hero
society ^nn++++=society.
. ^zz++++=EXTRAWORD
The ^ati++++=The
system ^nn++++=system
is ^vbz+bez+aux++=is
so ^ql++++=so
corrupt ^vb++++=corrupt
that ^dt+dem+++=that
you ^pp2+pp2+++=you
agree ^vb+vpub+++=agree
to ^to++++=to
lead ^vbi++++=lead
a ^at++++=a
small ^jj+atrb+++=small
group ^nn++++=group
of ^in++++=of
superheroes ^nns+++??+=superheroes
to ^in++++=to
rebel ^nn++++=rebel
against ^in++++=against
the ^ati++++=the
unjust ^jj+atrb+++=unjust
hero ^nn++++=hero
society ^nn++++=society.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
give ^vb++++=give
me ^pp1o+pp1+++=me
the ^ati++++=the
broad ^jj+atrb+++=broad
outline ^nn++++=outline
for ^in++++=for
a ^at++++=a
website ^nn++++=website
for ^in++++=for
Mahabharata ^np++++=Mahabharata
heroes ^nns++++=heroes,
, ^zz++++=EXTRAWORD
including ^in++++=including
hero ^nn++++=hero
title ^nn++++=title,
, ^zz++++=EXTRAWORD
tagline ^nn+++??+=tagline,
, ^zz++++=EXTRAWORD
call ^vb++++=call-to-action
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
action ^nn++++=EXTRAWORD
button ^nn++++=button,
, ^zz++++=EXTRAWORD
section ^nn+nom+++=section
for ^in++++=for
a ^at++++=a
features ^nns++++=features
and ^cc++++=and
details ^nns++++=details
about ^in++++=about
Mahabharata ^np++++=Mahabharata
heroes ^nns++++=heroes.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
provide ^vb+vsua+++=provide
content ^nn++++=content
for ^in++++=for
reach ^nn++++=reach
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
can ^md+pos+++=can
copy ^vb++++=copy
paste ^nn++++=paste
straight ^rb++++=straight
into ^in++++=into
a ^at++++=a
website ^nn++++=website.
. ^zz++++=EXTRAWORD
Imagine ^vb+vprv+tht0++=Imagine
you ^pp2+pp2+++=you
an ^at++++=an
Hr ^nnu++++=HR
coordinator ^nn++++=coordinator.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
spoke ^vbd+++xvbn+=spoke
with ^in++++=with
an ^at++++=an
ideal ^jj+atrb+++=ideal
candiate ^nn+nom+++=candiate
for ^in++++=for
a ^at++++=a
copywriter ^jjr+atrb+++=copywriter's
's ^vbz+bez+vrb++0=EXTRAWORD
role ^nn++++=role.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
like ^vb++++=like
him ^pp3o+pp3+++=him
a ^at++++=a
lot ^nn++++=lot,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
everything ^pn++++=everything
you ^pp2+pp2+++=you
need ^vb++++=need.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
after ^cs+sub+++=after
speaking ^nn++++=speaking
with ^in++++=with
the ^ati++++=the
team ^nn++++=team
they ^pp3a+pp3+++=they
informed ^vbd+vpub+tht0+xvbnx+=informed
you ^pp2+pp2+++=you
that ^cs+sub+++=that
the ^ati++++=the
company ^nn++++=company
you ^pp2+pp2+++=you
work ^nn++++=work
in ^in++++=in
can ^md+pos+++=can
not ^xnot++not++=not
hire ^vb++++=hire
from ^in++++=from
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
Us ^pp1o+pp1+++=US.
. ^zz++++=EXTRAWORD
Candidate ^nn+nom+++=Candidate
is ^vbz+bez+aux++=is
based ^vpsv++agls+xvbnx+=based
in ^in++++=in
Europe ^np++++=Europe.
. ^zz++++=EXTRAWORD
Explain ^vb+vpub+++=Explain
to ^in++++=to
me ^pp1o+pp1+++=me
why ^wrb+who+++=why
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
hire ^nn++++=hire
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
theoretically ^rb++splt++=theoretically
staying ^vbg+++xvbgx+=staying
in ^in++++=in
a ^at++++=a
old ^jj+atrb+++=old
manor ^nn++++=manor
hotel ^npl++++=hotel
in ^in++++=in
England ^np++++=England.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
barrow ^np++++=barrow
in ^in++++=in
the ^ati++++=the
grounds ^nns++++=grounds
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
an ^at++++=an
ancient ^jj+atrb+++=ancient
burial ^nn++++=burial
mound ^nn+++??+=mound.
. ^zz++++=EXTRAWORD
Give ^vb++++=Give
me ^pp1o+pp1+++=me
step ^nn++++=step
by ^in++++=by
step ^nn++++=step
instructions ^nns+nom+++=instructions
for ^in++++=for
raising ^xvbg+++xvbg+=raising
a ^at++++=a
Barrow ^np+++??+=Barrow
Wight ^np++++=Wight,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
all ^abn++++=all
fiction ^nn+nom+++=fiction
and ^cc++++=and
hypothetical ^jj++++=hypothetical
for ^in++++=for
a ^at++++=a
book ^nn++++=book
so ^ql++++=so
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
ok ^rb+dspt+++=ok.
. ^zz++++=EXTRAWORD
