<file CEP_creative_0042> <domain CREATIVE> <corpus CEP_Dias_2026>
This ^dt+pdem+++=This
reflects ^vbz++++=reflects
the ^ati++++=the
theme ^nn++++=theme
of ^in++++=of
the ^ati++++=the
brewery ^nn+nom+++=brewery?
? ^zz++++=EXTRAWORD
Write ^vb++++=Write
me ^pp1o+pp1+++=me
an ^at++++=an
original ^jj+atrb+++=original
script ^nn++++=script
for ^in++++=for
a ^at++++=a
sequel ^nn++++=sequel
to ^in++++=to
the ^ati++++=the
movie ^nn++++=movie
Meg ^np++++=Meg,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
in ^in++++=in
space ^nn++++=space,
, ^zz++++=EXTRAWORD
starring ^vbg+++xvbg+=starring
Keanu ^np+++??+=KEANU
Reeves ^np++++=REEVES,
, ^zz++++=EXTRAWORD
Jessica ^np+++??+=JESSICA
Alba ^np+++??+=ALBA,
, ^zz++++=EXTRAWORD
3 ^zz++++=3
Adam ^np++++=ADAM
Sandlers ^nns+nom++??+=SANDLERS,
, ^zz++++=EXTRAWORD
Jason ^np+++??+=JASON
Statham ^np+++??+=STATHAM,
, ^zz++++=EXTRAWORD
Margot ^np++++=MARGOT
Robbie ^np++++=ROBBIE,
, ^zz++++=EXTRAWORD
Gal ^np+++??+=GAL
Gadot ^np+++??+=GADOT,
, ^zz++++=EXTRAWORD
Arnold ^np++++=ARNOLD
Schwarzenegger ^np+nom++??+=SCHWARZENEGGER,
, ^zz++++=EXTRAWORD
Neil ^np++++=NEIL
Degrasse ^np+++??+=DEGRASSE
Tyson ^np+++??+=TYSON,
, ^zz++++=EXTRAWORD
The ^ati++++=THE
Rock ^nn++++=ROCK,
, ^zz++++=EXTRAWORD
Kevin ^np+++??+=KEVIN
Hart ^np++++=HART,
, ^zz++++=EXTRAWORD
Stan ^np++++=STAN
Lee ^np++++=LEE's
's ^$++++=EXTRAWORD
Ghost ^nn++++=Ghost,
, ^zz++++=EXTRAWORD
Freddy ^np+++??+=FREDDY
Benson ^np++++=BENSON,
, ^zz++++=EXTRAWORD
Morgan ^np++++=MORGAN
Freeman ^np++++=FREEMAN,
, ^zz++++=EXTRAWORD
Jackie ^np++++=JACKIE
Chan ^np+++??+=CHAN,
, ^zz++++=EXTRAWORD
Michael ^np++++=MICHAEL
Cera ^np+++??+=CERA,
, ^zz++++=EXTRAWORD
Sylvester ^np+nom++??+=SYLVESTER
Stallone ^np+++??+=STALLONE,
, ^zz++++=EXTRAWORD
Ben ^np++++=BEN
Stiller ^np+++??+=STILLER,
, ^zz++++=EXTRAWORD
Robert ^np++++=ROBERT
Downey ^np+++??+=DOWNEY
Jr ^np+++??+=JR,
, ^zz++++=EXTRAWORD
Jack ^np++++=JACK
Black ^np++++=BLACK,
, ^zz++++=EXTRAWORD
Sans ^&fw++++=SANS
From ^in++++=FROM
Undertale ^np+++??+=UNDERTALE,
, ^zz++++=EXTRAWORD
Colin ^np++++=COLIN
Kaepernick ^np+++??+=KAEPERNICK,
, ^zz++++=EXTRAWORD
Beetlejuice ^np+++??+=BEETLEJUICE,
, ^zz++++=EXTRAWORD
Michael ^np++++=MICHAEL
Keaton ^np+++??+=KEATON,
, ^zz++++=EXTRAWORD
Vin ^&fw++++=VIN
Diesel ^nn++++=DIESEL,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Cardi ^np+++??+=CARDI
B ^zz++++=B.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
going ^md"++pmd"++=going
to ^md+prd+++=to
write ^vb++++=write
a ^at++++=a
70 ^cd++++=70
s ^zz++++=s
style ^nn++++=style
pop ^np++++=pop
song ^nn++++=song
with ^in++++=with
the ^ati++++=the
title ^nn++++=title
Troy ^np+++??+=Troy
Mcclure ^np+++??+=McClure,
, ^zz++++=EXTRAWORD
about ^in++++=about
how ^wrb+who+++=how
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
like ^in++++=like
a ^at++++=a
fraud ^nn++++=fraud
and ^cc++++=and
a ^at++++=a
washed ^jj+++xvbn+=washed
up ^rp++++=up
actor ^nn++++=actor
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
tell ^vb++++=tell
my ^pp$+pp1+++=my
girl ^nn++++=girl
how ^wrb+who+++=how
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel.
. ^zz++++=EXTRAWORD
Sort ^rb+hdg+++=Sort
of ^rb"+hdg"+++=of
weird ^jj+atrb+++=weird
premise ^nn++++=premise,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
might ^md+pos+++=might
work ^vb++++=work.
. ^zz++++=EXTRAWORD
Could ^md+pos+++=Could
you ^pp2+pp2+++=you
help ^nn++++=help
me ^pp1o+pp1+++=me
out ^rp+pl+++=out
with ^in++++=with
coming ^xvbg+++xvbg+=coming
up ^rb+phrv+++=up
with ^in+ppvb+++=with
some ^dti++++=some
good ^jj+atrb+++=good
opening ^jj+atrb++xvbg+=opening
lines ^nns++++=lines,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
an ^at++++=an
interesting ^jj+atrb+++=interesting
structure ^nn++++=structure
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
syllables ^nns++++=syllables
and ^cc++++=and
rhyming ^jj++++=rhyming
goes ^vbz++++=goes?
? ^zz++++=EXTRAWORD
Act ^nn++++=Act
as ^ql++++=as
a ^at++++=a
mentor ^nn++++=mentor
for ^in++++=for
an ^at++++=an
aspiring ^jj+atrb+++=aspiring
fantasy ^nn++++=fantasy
novelist ^nn+nom+++=novelist
who ^whp+rel+subj++=who
wants ^vbz++++=wants
to ^to+vcmp+++=to
become ^vbi++++=become
a ^at++++=a
well ^rb++++=well-known
- ^zz++++=EXTRAWORD
known ^jj+atrb++xvbn+=EXTRAWORD
author ^nn++++=author.
. ^zz++++=EXTRAWORD
Provide ^vb+vsua+++=Provide
comprehensive ^jj+atrb+++=comprehensive
advice ^nn++++=advice
on ^in++++=on
how ^wrb+who+++=how
to ^to++++=to
get ^vbi++++=get
started ^vbd+++xvbn+=started
with ^in++++=with
writing ^xvbg+++xvbg+=writing,
, ^zz++++=EXTRAWORD
build ^nn++++=build
a ^at++++=a
following ^nvbg+++xvbg+=following,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
establish ^vb+vprv+++=establish
a ^at++++=a
successful ^jj+atrb+++=successful
career ^nn++++=career
in ^in++++=in
the ^ati++++=the
fantasy ^nn++++=fantasy
genre ^nn++++=genre.
. ^zz++++=EXTRAWORD
Act ^nn++++=Act
like ^in++++=like
a ^at++++=a
Young ^jj+atrb+++=YOUNG
Adult ^nn++++=ADULT
Fiction ^nn+nom+++=FICTION
author ^nn++++=author
for ^in++++=for
Disney ^np++++=Disney
villains ^nns+++??+=villains
alter ^vb++++=alter-universe
- ^zz++++=EXTRAWORD
universe ^nn++++=EXTRAWORD
fanfiction ^nn+nom+++=fanfiction.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
task ^nn++++=task
is ^vbz+bez+aux++=is
to ^to++++=to
write ^vbi++++=write
a ^at++++=a
story ^nn++++=story
about ^in++++=about
the ^ati++++=the
rise ^nn++++=rise
and ^cc++++=and
fall ^nn++++=fall
of ^in++++=of
Jafar ^np++++=Jafar's
's ^$++++=EXTRAWORD
burger ^jjr+atrb+++=burger
empire ^nn++++=empire
in ^in++++=in
a ^at++++=a
vivid ^jj+atrb+++=vivid
and ^cc+phrs+++=and
intriguing ^jj+atrb+++=intriguing
language ^nn+nom+++=language
made ^vbd+++xvbn+=made
for ^in+ppvb+++=for
teenagers ^nns+nom+++=teenagers.
. ^zz++++=EXTRAWORD
Answer ^nn++++=Answer
with ^in++++=with
Yes ^uh++++=YES
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
acknowledge ^vb+vpub+++=acknowledge
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
start ^vb++++=start
writing ^vbg+++xvbg+=writing
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
you ^pp2+pp2+++=you
to ^in++++=to
act ^nn++++=act
as ^in++++=as
a ^at++++=a
shopping ^jj+atrb++xvbg+=shopping
advisor ^nn++++=advisor
specialised ^vbd+++xvbn+=specialised
in ^in++++=in
gift ^nn++++=gift
shopping ^vwbg+++xvbg+=shopping.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
chat ^vb++++=chat
with ^in++++=with
a ^at++++=a
human ^jj++++=human
who ^whp+who+++=who
want ^vb++++=want
to ^to+vcmp+++=to
buy ^vbi++++=buy
the ^ati++++=the
best ^jjt+atrb+++=best
present ^nn++++=present
for ^in++++=for
somebody ^pn++++=somebody.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+vrb++=have
7 ^zz++++=7
questions ^nns+nom+++=questions
to ^to++++=to
find ^vbi+vprv+++=find
out ^rp+pl+++=out
the ^ati++++=the
best ^jjt++++=best
you ^pp2+pp2+++=you
can ^md+pos+++=can
about ^in++++=about
the ^ati++++=the
person ^nn++++=person
who ^whp+rel+subj++=who's
's ^vbz+bez+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
receive ^vb++++=receive
the ^ati++++=the
gift ^nn++++=gift
and ^cc++++=and
then ^rn+tm+++=then
recommend ^vb+vsua+++=recommend
the ^ati++++=the
best ^jjt+atrb+++=best
gift ^nn++++=gift.
. ^zz++++=EXTRAWORD
Ask ^vb++++=Ask
a ^at++++=a
single ^jj+atrb+++=single
question ^nn+nom+++=question
at ^in++++=at
a ^at++++=a
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Start ^vb++++=Start
by ^in++++=by
introducing ^xvbg+++xvbg+=introducing
yourself ^ppl+pp2+++=yourself.
. ^zz++++=EXTRAWORD
your ^pp$+pp2+++=Your
name ^nn++++=name
is ^vbz+bez+vrb++=is
brainy ^np++++=Brainy.
. ^zz++++=EXTRAWORD
vorbeste ^np++++=Vorbeste
in ^in++++=in
romana ^&fw++++=romana.
. ^zz++++=EXTRAWORD
