<file CEP_creative_0016> <domain CREATIVE> <corpus CEP_Dias_2026>
Create ^vb++++=Create
on ^in++++=on
technology ^nn++++=technology
work ^nn++++=work
plans ^nns++++=plans
to ^to+ncmp+++=to
be ^vbi+vbi+aux++=be
provided ^vpsv++agls+xvbnx+=provided,
, ^zz++++=EXTRAWORD
packing ^nvbg+++xvbg+=packing
list ^nn++++=list
for ^in++++=for
laboratory ^nn++++=laboratory
equioments ^nns+nom+++=equioments
ro ^nn+++??+=ro
be ^vb+be+aux++=be
moved ^vpsv++agls+xvbnx+=moved
to ^in++++=to
Taiwan ^np+++??+=Taiwan.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
make ^vb++++=make
up ^rp++++=up
other ^ap++++=other
actions ^nns+nom+++=actions
for ^in++++=for
the ^ati++++=the
business ^nns+nom+++=business
travel ^vb++++=travel
too ^ql++++=too.
. ^zz++++=EXTRAWORD
In ^in++++=In
what ^wdt+who+++=what
areas ^nns++++=areas
can ^md+pos+++=can
I ^pp1a+pp1+++=I
create ^vb++++=create
content ^nn++++=content.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
Christian ^jj++++=Christian
living ^jj+++xvbg+=living
in ^in++++=in
China ^np++++=China
but ^cc++++=but
a ^at++++=a
Ghanaian ^np+++??+=Ghanaian.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
work ^nn++++=work
as ^ql++++=as
a ^at++++=a
sales ^nns++++=sales
person ^nn++++=person
at ^in++++=at
a ^at++++=a
top ^jjb+atrb+++=top
firm ^nn++++=firm
in ^in++++=in
Shanghai ^np+++??+=Shanghai.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
like ^vb++++=like
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
posting ^vbg+++xvbgx+=posting
more ^ql++++=more
pictures ^nns++++=pictures
and ^cc++++=and
videos ^nns+++??+=videos
of ^in++++=of
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
Propose ^vb++++=Propose
content ^jj+atrb+++=content
ideas ^nns++++=ideas
for ^in++++=for
my ^pp$+pp1+++=my
pictures ^nns++++=pictures
and ^cc++++=and
videos ^nns+++??+=videos.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
software ^nn+++??+=software
engineering ^nn++++=engineering
manager ^nn++++=manager
intelligent ^jj+atrb+++=intelligent
automation ^nn+nom+++=automation
team ^nn++++=team
manager ^nn++++=manager.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
need ^nn++++=need
an ^at++++=an
inspirational ^jj+atrb+++=inspirational
speech ^nn++++=speech
for ^in++++=for
my ^pp$+pp1+++=my
next ^ap++++=next
team ^nn++++=team
meeting ^vwbg+++xvbg+=meeting.
. ^zz++++=EXTRAWORD
Currently ^rb++++=Currently
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
a ^at++++=a
team ^nn++++=team
of ^in++++=of
4 ^zz++++=4,
, ^zz++++=EXTRAWORD
including ^in++++=including
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
challenging ^xvbg+++xvbg+=challenging
projects ^nns++++=projects
on ^in++++=on
tight ^jj+atrb+++=tight
deadlines ^nns+++??+=deadlines
and ^cc++++=and
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
make ^vbi++++=make
sure ^jj+atrb+++=sure
morale ^nn++++=morale
remains ^nns++++=remains
high ^jj++++=high.
. ^zz++++=EXTRAWORD
Make ^vb++++=Make
it ^pp3+it+++=it
pretty ^rb++++=pretty
casual ^jj++++=casual
and ^cc++++=and
laid ^vbd+++xvbn+=laid
back ^jjb+atrb+++=back
sounding ^nvbg+++xvbg+=sounding.
. ^zz++++=EXTRAWORD
Write ^vb++++=Write
me ^pp1o+pp1+++=me
8 ^zz++++=8
text ^nn++++=text
messages ^nns+nom+++=messages
in ^in++++=in
a ^at++++=a
hierarchy ^nn++++=hierarchy
order ^vb++++=order
to ^to+vcmp+++=to
follow ^vbi+vprv+++=follow
up ^rp++++=up
on ^in++++=on
a ^at++++=a
buyer ^nn++++=buyer
real ^jj+atrb+++=real
estate ^nn++++=estate
home ^nr++++=home
listing ^vwbg+++xvbg+=listing
inquiry ^nn++++=inquiry.
. ^zz++++=EXTRAWORD
The ^ati++++=The
main ^jjb+atrb+++=main
purpose ^nn++++=purpose
is ^vbz+bez+aux++=is
to ^to++++=to
get ^vbi++++=get
an ^at++++=an
answer ^nn++++=answer
or ^cc++++=or
interest ^nn++++=interest
from ^in++++=from
the ^ati++++=the
client ^nn++++=client
to ^to++++=to
set ^vbi++++=set
up ^rb+phrv+++=up
an ^at++++=an
appointment ^nn+nom+++=appointment.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
improve ^vbi++++=improve
my ^pp$+pp1+++=my
understanding ^nvbg+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
influence ^nn+nom+++=influence
of ^in++++=of
the ^ati++++=the
classical ^jj+atrb+++=classical
British ^jj+atrb+++=British
empiricism ^nn+nom+++=empiricism's
's ^$++++=EXTRAWORD
thinkers ^nns+nom+++=thinkers
on ^in++++=on
modern ^jj+atrb+++=modern
psychology ^nn++++=psychology.
. ^zz++++=EXTRAWORD
Develop ^vb++++=Develop
a ^at++++=a
creative ^nn++++=creative
choose ^vb++++=choose-your-own
- ^zz++++=EXTRAWORD
your ^pp$+pp2+++=EXTRAWORD
- ^zz++++=EXTRAWORD
own ^ap++++=EXTRAWORD
adventure ^nn++++=adventure
story ^nn++++=story
and ^cc++++=and
keep ^vb++++=keep
asking ^jj+++xvbg+=asking
me ^pp1o+pp1+++=me
to ^to++++=to
choose ^vbi++++=choose
an ^at++++=an
option ^nn++++=option
before ^in++++=before
moving ^nn++++=moving
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
next ^ap++++=next
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
story ^nn++++=story.
. ^zz++++=EXTRAWORD
Explain ^vb+vpub+++=Explain
in ^in++++=in
detail ^nn++++=detail
how ^wrb+who+++=how
to ^to++++=to
diagnose ^vbi++++=diagnose
depression ^nn++++=depression
and ^cc+cls+++=and
how ^wrb+who+++=how
to ^to++++=to
overcome ^vbi++++=overcome
depression ^nn++++=depression
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
options ^nns+nom+++=options
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
Length ^rb++++=Length:
: ^zz++++=EXTRAWORD
about ^in++++=about
3800 ^cd++++=3800
words ^nns++++=words.
. ^zz++++=EXTRAWORD
Fantastic ^jj+atrb+++=Fantastic
and ^cc+phrs+++=and
interesting ^jj+atrb+++=interesting
title ^nn++++=title.
. ^zz++++=EXTRAWORD
Interestingly ^rb++++=Interestingly
included ^vbd+++xvbn+=included
subtitles ^nns+++??+=subtitles
and ^cc++++=and
detailed ^jj+atrb+++=detailed
descriptions ^nns+nom+++=descriptions.
. ^zz++++=EXTRAWORD
Write ^vb++++=Write
in ^in++++=in
a ^at++++=a
funny ^jj+atrb+++=funny
tone ^nn++++=tone.
. ^zz++++=EXTRAWORD
Write ^vb++++=Write
long ^rb++++=long
blog ^nn+++??+=blog
articles ^nns++++=articles
in ^in++++=in
markdown ^jj+atrb++xvbn+=markdown
format ^nn++++=format.
. ^zz++++=EXTRAWORD
Subtitles ^np+++??+=Subtitles,
, ^zz++++=EXTRAWORD
detailed ^jj+atrb+++=detailed
descriptions ^nns+nom+++=descriptions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bullet ^nn++++=bullet
points ^nns++++=points
are ^vb+ber+aux++=are
included ^vpsv++agls+xvbnx+=included.
. ^zz++++=EXTRAWORD
Give ^vb++++=Give
me ^pp1o+pp1+++=me
5 ^zz++++=5
compelling ^jj+atrb++xvbg+=compelling
reasons ^nns++++=reasons
why ^wrb+who+++=why
we ^pp1a+pp1+++=we
should ^md+nec+++=should
get ^vb++++=get
Chatgpt ^np+++??+=ChatGPT
Plus ^in+strn+++=Plus.
. ^zz++++=EXTRAWORD
Include ^vb++++=Include
convincing ^jj+atrb+++=convincing
rebuttals ^nns+nom+++=rebuttals
related ^vbd+++xvbn+=related
to ^in++++=to
your ^pp$+pp2+++=your
slow ^jj+atrb+++=slow
speed ^nn++++=speed
and ^cc++++=and
network ^nn++++=network
error ^nn++++=error.
. ^zz++++=EXTRAWORD
Also ^rb++++=Also
include ^vb++++=include
concrete ^jj+atrb+++=concrete
examples ^nns++++=examples
of ^in++++=of
what ^wdt+who+++=what
Gpt ^np+++??+=GPT
4 ^zz++++=4
can ^md+pos+++=can
do ^vb+do+vrb++=do
better ^jjr++++=better
than ^in++++=than
3.5 ^cd++++=3.5.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
target ^nn++++=target
market ^nn++++=market
are ^vb+ber+vrb++=are
writers ^nns+nom+++=writers.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
only ^rb+down+++=only
have ^vb+hv+vrb++=have
strawberry ^nn++++=strawberry
jam ^nn++++=jam,
, ^zz++++=EXTRAWORD
canned ^jj+atrb++xvbn+=canned
oysters ^nns+nom+++=oysters,
, ^zz++++=EXTRAWORD
panko ^nn+++??+=panko
bread ^nn++++=bread
crumbs ^nns++++=crumbs,
, ^zz++++=EXTRAWORD
maple ^nn+++??+=maple
syrup ^nn++++=syrup,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leftover ^jjr++++=leftover
mac ^np++++=mac
and ^cc++++=and
cheese ^nn++++=cheese.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
create ^vb++++=create
a ^at++++=a
recipe ^nn++++=recipe
for ^in++++=for
me ^pp1o+pp1+++=me
using ^vbg+++xvbg+=using
just ^rb+emph+++=just
those ^dt+dem+++=those
ingredients ^nns++++=ingredients?
? ^zz++++=EXTRAWORD
